"종류(01한식,02중식,03일식,04양식,05기타외국음식,06디저트/카페)",테마(국가),업소명,전화번호,주소1,주소2,주요요리,위도,경도,사장님이자랑하는내가게한마디
3,일본,유타로,02-797-5776,서울특별시 용산구 이태원로 216,1층 한남동,"주요메뉴 : 시로 7,000, 쿠로 8,000추천메뉴 : 시로 7,000",37.53468751,126.9981354,"먹는 것 이상의 맛있는 즐거운, 하키타 일본라면"
3,일본,후지야마소바,02-749-4129,서울특별시 용산구 이태원로 208,"1층 6,7호 한남동","주요메뉴 : 자루소바 3,800, 키츠네우동 3,800추천메뉴 : 지루소바 3,800",37.53453972,126.9970583,일본에서 먹어본 맛을 즐길 수 있어요
4,이탈리아,일키아쏘,02-792-5588,서울특별시 용산구 이태원로55가길 21,1층 3호 한남동,"주요메뉴 : 티본스테이크(600g부터 가능 100g당 15,000), 프로슈토 20,000추천메뉴 : 티본스테이크(600g부터 가능 100g당 15,000)",37.53737971,127.000258,한남동에 위치한 이탈리아 본고장의 맛과 분위기를 느낄 수 있는 이탈리아 레스토랑
5,베트남,포하우스,02-793-5220,서울특별시 용산구 이태원로20길 2-12,2층 이태원동,"주요메뉴 : 베트남쌀국수 8,000~11,000, 팟타이 12,000 추천메뉴 : 베트남쌀국수 8,000~11,000",37.53393038,126.9915235,베트남쌀국수가 맛있는 이태원 포하우스
4,미국,매덕스피자한남점,02-790-2420,서울특별시 용산구 독서당로29길 5-6,"G동 2층 202호 한남동, 리플레이스 한남","주요메뉴 : 마르게리타피자(한조각 6,700/한판 49,000), 맥앤치즈베이컨피자(한조각 6,500/ 한판 48,000), 하와이안피자(한조각 6,500/ 한판 48,000)추천메뉴 : 마르게리타피자(한조각 6,700/한판 49,000)
",37.53695027,127.0115182,뉴욕스타일의 조각피자
4,미국,빌리스팬케이크,02-790-3315,서울특별시 용산구 녹사평대로46길 16-4,2층 이태원동,"주요메뉴 : 오리지널 팬케이크 8,300, 티라미수 팬케이크 14,900추천메뉴 : 오리지널 팬케이크 8,300",37.53713401,126.9877893,맛있는 팬케이크와 루프탑이 있는 경리단 대표카페
6,일본,도쿄빙수경리단길점,070-7812-9584,서울특별시 용산구 녹사평대로46길 10,1층 이태원동,"주요메뉴 : 토마토빙수 8,900 말차빙수 10,500 키리모찌 6,500추천메뉴 : 토마토빙수 8,900",37.53726011,126.9874137,지구상에서 가장 맛있는 빙수가 있는 도쿄빙수
2,중국,누랑즈뉘,02-797-0709,서울특별시 용산구 녹사평대로46길 34-2,1층 이태원동,"주요메뉴 : 항정살탕수육 20,700, 멘보샤 15,700추천메뉴 : 항정살 탕수육 20,700",37.53745125,126.9886492,"칠석, 견우직녀가 일년에 한번 만나는 뜻깊고 소중한 시간인 만큼, 누랑즈뉘에서 인연과 낭만을 공유할 수 있는 여유로운 시간이 되기를 기원합니다."
4,미국,로코스핑크솔트,02-792-3235,서울특별시 용산구 녹사평대로26가길 14,1층 이태원동,"주요메뉴 : 루벤 샌드위치 11,900, 브리스켓 샌드위치 11,900추천메뉴 : 루벤 샌드위치 11,900",37.53230503,126.9924288,고기가 듬뿍 들어있는 미국식 수제버거 맛집
5,인도,타지펠리스,02-790-5786,서울특별시 용산구 우사단로 39,인도요리 부페,주요메뉴 : 인도요리 부페추천메뉴 : 인도요리 부페,37.53369994,126.9954472,
4,이탈리아,비스테까 토레엔,02-797-7746,서울특별시 용산구 회나무로 66,지상 3층 이태원동,"주요메뉴 : 포터하우스 스테이크 100g당 26,000원(최소주문700g), 토마토소스의 바닷가재 스파게티38,000원, 티라미수 12,000원추천메뉴 : 포터하우스 스테이크 100g당 26,000원(최소주문700g)",37.54011499,126.9938492,서울에서 N타워가 가장 아름답게 보이는 torre N
4,이탈리아,골든불,02-794-7073,서울특별시 용산구 이태원로42길 60,,"주요메뉴 : 한우1+스테이크(250g) 47,500, 만조샐러드 15,000, 가지그라탕 10,000추천메뉴 : 한우1+스테이크(250g) 47,500",37.53707697,127.0013804,steak가 맛있는 집
5,태국,부아,02-792-3340,서울특별시 용산구 보광로59길 9,,"주요메뉴 : 레드오리커리 28,000원, 팟타이 12,000원, 타이커피 6,000원추천메뉴 : 레드오리커리 28,000원",37.53386563,126.9934514,미슐랭 빕구르망에서 선정된 고전타이 음식점 부아
5,태국,낭낭,02-792-3340,서울특별시 용산구 보광로59길 9,,"주요메뉴 : 카오쏘이 8,000, 꾸웨이띠여우 �c양누들 8,000추천메뉴 : 카오쏘이 8,000",37.53386563,126.9934514,국내에서 처음 선보이는 태국북부지방 국수 전문점
2,대만,우육미엔 이태원점,02-798-5556,서울특별시 용산구 이태원로55가길 26-8,,"주요메뉴 : 마라우육미엔 10,500원, 꿔바로우 12,000원, 자샤랑군 6,000원추천메뉴 :&nbsp; 마라우육미엔 10,500원",37.53751306,126.9999004,대만현지 30년 경력의 Tony Kang쉐프와 국내 3인이 모여 대만 본토보다 맛있는 우육면을 만들자는 각오로 오랫동안 연구하고 대만을 넘나들며 합작하여 만들었습니다.
2,홍콩,완차이야,,서울특별시 용산구 녹사평대로54길 19,,"주요메뉴 : 완차이야플래터 26,000원, 마카오볶음면 12,000원, 우육면 10,000원추천메뉴 : 완차이야플래터 26,000원",37.53919195,126.9884,홍콩의 분위기와 맛을 그대로 재현해 드립니다.
4,이탈리아,파스타 프레스카,02-795-6004,서울특별시 용산구 이태원로55나길 6,,"주요메뉴 : Braised pork shark 25,000원, Lasahna 17,000원, Caprese 13,000원추천메뉴 : Braised pork shark 25,000원",37.53666612,126.9990948,생면파스타와 이탈리안 가정식요리를 드실 수 있는 곳
5,베트남,베트남고향식당3호점,02-796-7436,서울특별시 용산구 회나무로 66,,"주요메뉴 : 소고기쌀국수 9,000원, 만두튀김 10,000원, 볶음밥 10,000원추천메뉴 : 소고기쌀국수 9,000원",37.54011499,126.9938492,"베트남 현지의 맛, 고향의 맛을 느껴보세요."
3,일본,유다 야키토리,02-388-5081,서울특별시 용산구 이태원로 230-2,,"주요메뉴 : 사시미 40,000원 ~ 80,000원, 꼬치모듬 19,800원, 나베22,000원추천메뉴 : 사시미 40,000원 ~ 80,000원",37.53558131,126.9994162,최고의 야끼도리 전문점
3,일본,도쿄쟁반,02-3785-0913,서울특별시 용산구 이태원로54길 58-9,,"주요메뉴 : 함박스테이크 15,000원, 카레우동 9,000원추천메뉴 : 함박스테이크 15,000원",37.53562096,127.0006653,식물들과 함께하는 도쿄가정식
5,태국,소이연남 한남점,02-792-5130,서울특별시 용산구 한남대로20길 47-10,,"주요메뉴 : 소고기국수 8,500원, 소이뽀삐아 12,000원, 가이양 13,000원(반마리), 24,000원(한마리)추천메뉴 :&nbsp; 소고기국수 8,500원",37.53520608,127.0099204,한국에서 가장 핫한 태국음식점
3,일본,하나마치,0505-1440-8556,서울특별시 용산구 이태원로54길 52,,"주요메뉴 : 연어사시미 25,000, 갈비야사이 22,000, 차돌박이 숙주볶음 17,000추천메뉴 : 연어사시미 25,000",37.53622282,127.0011948,꽃길 그대와 함께 하겠습니다.
4,멕시코,감성타코 한남점,02-798-8889,서울특별시 용산구 독서당로29길 5-6,"G동 301호 한남동, 리플레이스 한남","주요메뉴 : 감성 그릴드 파히타 - 38,000원브리또 - 13,000 ~ 14,000원퀘사디아 - 13,000 ~ 14,000원추천메뉴 : 감성 그릴드 파히타 - 38,000원",37.53695027,127.0115182,멋진 공간에서 멕시코요리를 즐길 수 있는 곳
3,일본,노리테이블,02-792-4427,서울특별시 용산구 녹사평대로40나길 1,지하1층 이태원동,"주요메뉴 : 핸드롤 데마끼(2개) - 4,000 ~ 10,000원마끼(6개!8개) - 6,000 ~ 15,000원홍합에피타이저 - 8,000원추천메뉴 : 핸드롤 데마끼(2개) - 4,000 ~ 10,000원",37.53461123,126.9880296,캐쥬얼 일식 및 사케바
5,중동(파키스탄),더 할랄 가이즈,02-794-8308,서울특별시 용산구 이태원로 187,지상2층 이태원동,"주요메뉴 : 치킨&amp;자이로 플레터(M)-9,900원자이로샌드위치-8,900원추천메뉴 : 치킨&amp;자이로 플래터(M)-9,900원",37.53472705,126.9947819,뉴욕 최고의 스트릿 푸드
5,베트남,반미리,070-8289-4190,서울특별시 용산구 회나무로 66,지상1층 이태원동,"주요메뉴 : 반미 샌드위치-8,000원바나나튀김-5,000원추천메뉴 : 반미샌드위치-8,000원",37.54011499,126.9938492,베트남 샌드위치 전문점
4,미국,이태원 더 버거,02-797-8940,서울특별시 용산구 녹사평대로32길 22,지상1층 이태원동,"주요메뉴 : 이태원더버거-19,800원빅더블버거-12,900원레튜스아보카도버거-10,900원그릴쉬림프버거-12,900원추천메뉴 : 이태원더버거-19,800원",37.53343651,126.9900346,숯불에 구워 육즙이 풍부하고 스모크향의 맛을 느낄 수 있는 수제버거
3,일본,토키바야마,02-797-1028,서울특별시 용산구 녹사평대로40다길 2,"지상2층 이태원동, 그린빌라트","주요메뉴 : 토리니쿠 창코나베- (소)18,000원 ~사시미-19,000원 ~친미 모리아와세-22,000원 ~추천메뉴 : 토리니쿠 창코나베-(소)18,000 ~
",37.53496086,126.988455,도쿄의 '토키바야마' 한국 분점
5,인도,알라딘,,서울특별시 용산구 보광로60길 17,지상1층 이태원동,"주요메뉴 : 모듬구이-35,000 탄두리치킨-20,000치킨카레-13,000점신세트메뉴-9,900추천메뉴 : 모듬구이-35,000",37.53416845,126.9951711,
4,미국,플라잉볼 익스프레스 이태원점,02-790-0511,서울특별시 용산구 녹사평대로40길 59-2,지상2층 이태원동,"주요메뉴 : 클래식버거-8,500원시그니쳐번-5,500원추천메뉴 : 클래식버거-8,500원",37.53445277,126.9892832,최고의 맛은 번으로 결정된다.
6,미국,크리에잇쿠키,02-792-8890,서울특별시 용산구 회나무로 36,지상1층 이태원동,"주요메뉴 : 코코넛 초코칩쿠키-2,000원클래식 초코칩쿠키-1,900원누텔라 피넛버터쿠키-2,500추천메뉴 : 코코넛 초코칩쿠키-2,000원",37.53962103,126.9905995,유기농 밀로 만든 미국식 쿠키 전문점
5,이탈리아,dubstep B (덥스텝 비),02-796-7015,서울특별시 용산구 이태원로 243,1층 (한남동),"주요메뉴 : 수제버거, 연어 스테이크, 파스타, 함박 스테이크, 세계맥주와 와인추천메뉴 : 수제버거, 파스타, 연어 스테이크, 함박 스테이크, 그외 안주류 모두 맛있습니다. ^ ^",37.53680307,127.0000181,"외국의 다양한 국적 분들도 무난하게 식사를 즐기실수 있는 메뉴들로 구성되어 있습니다. 깔끔하고 정갈한 내부 인테리어와 예쁜 테라스가 있는 dubstep B는 Dining & Pub이지만, 조만간 커피도 됩니다.  ^ ^;;  `dubstep B`는 연인들의 데이트 코스로  `성지`와도 같은 곳입니다."
4,이탈리아,알레딴떼,02-792-1881,서울특별시 용산구 회나무로13나길 8,"지하1층, 지상1~3층 (이태원동)","주요메뉴 : 마르게리따 피자 13,000원찰옥수수 범벅 리코타 샐러드 14,000원옹심이 뇨끼의 이태리 해물탕 25,000원추천메뉴 : 마르게리따 피자 13,000원",37.54126082,126.9902554,"나폴리 스테파노 페라리 화덕, 100%장작, 유럽 현지 경험 셰프"
4,이탈리아,스윗비,02-792-0749,서울특별시 용산구 회나무로32길 2-1,지상1층 (이태원동),"주요메뉴 : 캐릭터타입 아이스크림 5,300원기본 아이스크림 4,000원소스타입 아이스크림 5,300원추천메뉴 : 캐릭터타입 아이스크림 5,300원",37.53979415,126.9923782,프리미엄 이탈리안 아이스크림 전문점
4,프랑스,르푸도레,02-797-8893,서울특별시 용산구 이태원로23길 34,지상1층 (이태원동),"주요메뉴 : 르방 바게트 4,500원크로아상 4,200원마스카포네 크림 크로아상 4,500원추천메뉴 : 크로아상 4,500원",37.53566032,126.991831,아담하고 이쁜 프렌치 빵 전문점
4,이탈리아,그린내,02-794-8793,서울특별시 용산구 녹사평대로 222,지상2층 (이태원동),"주요메뉴 : 곤돌리에 로제 파스타 17,600원봉골레 16,500원꽃등심 토마토 리조또 19,800원추천메뉴 : 곤돌리에 로제 파스타 17,600원",37.53734296,126.9870652,윤현찬 셰프의 이탈리아 파스타 전문점
4,러시아,마트료시카,070-7591-1112,서울특별시 용산구 이태원로 238,지상2층 (한남동),"주요메뉴 : 올리비에 샐러드 9,000원보르쉬 8,000원마트료시카 스페셜(모듬고기) 60,000원추천메뉴 : 마트료시카 스페셜(모듬고기) 60,000원",37.53597055,126.9999728,한남동 러시아 음식 전문점
3,일본,스시고코로,02-790-1182,서울특별시 용산구 한남대로 60,"D동 108호 (한남동, 금호리첸시아)","주요메뉴 : 런치 스시 코스 45,000원디너 오마카세 110,000원 추천메뉴 : 런치 스시 코스 45,000원",37.53446021,127.0078747,즐겁게 맛있는 시스릴 즐길 수 있는 곳
4,이탈리아,포카사,02-2038-2488,서울특별시 용산구 이태원로49길 14-2,지상1~2층 (한남동),"주요메뉴 : 포카치아 샌드위치 8,000원파스타치오 에끌레어 5,500원이탈리아노 마로키노 5,000원추천메뉴 : 포카치아 샌드위치 8,000원",37.53724997,126.9997149,정통 이탈리안 델리 카페
4,독일,스톤그라운드,02-790-8906,서울특별시 용산구 이태원로49길 14-3,지상1층 (한남동),"주요메뉴 : 독일식 프뢰첸 빵 (2,000~2,200원)샌드위치 (7,500~8,500원)케이크 (6,000~9,000원)추천메뉴 : 독일식 브뢰첸 빵 (2,000~2,200원)",37.53726438,126.9995881,갓 구운 독일식 빵과 건강 샌드위치
4,미국,다운타우너,070-8820-3696,서울특별시 용산구 이태원로42길 28-4,지상1층 (한남동),"주요메뉴 : 치즈버거 6,800원베이컨 치즈버거 7,800원아보카도 버거 9,300추천메뉴 : 아보카도 버거 9,300",37.53588045,127.0003937,한남동 수제버거
4,이탈리아,오만지아,02-749-2900,서울특별시 용산구 유엔빌리지길 14,지층 (한남동),"주요메뉴 : 모듬 해산물 샐러드 43,000원버섯파스타 25,000원한우채끝등심스테이크(300g) 110,000원추천메뉴 : 모듬 해산물 샐러드 43,000원",37.53397352,127.0098297,시칠리아 스타일의 이태리 정통레스토랑
5,이집트,카이로 바베큐,02-798-1253,서울특별시 용산구 우사단로10길 45,지상1층 (한남동),"주요메뉴 : 훈제연어 10,000훈제새우 10,000훈제양갈비 10,000추천메뉴 : 훈제양갈비 10,000",37.53294317,126.9980676,이집트 음식 전문점
5,이탈리아,핏제리아디부자 1호점,02-794-9474,서울특별시 용산구 이태원로55가길 28,핏제리아디부자 1호점,"주요메뉴 : 부자클래시카 19,600, 라자냐클래시카 21,500, 부자샐러드 14,900추천메뉴 : 부자클래시카 19,600",37.53726438,126.9998009,PIZZERIA D’BUZZA(부자피자)는 최상급에 식재료를 사용하여 만드는 이탈리아 정통방식의 레스토랑입니다. 정통 화덕피자를 누구나 캐쥬얼하고 편하게 즐길 수 있도록 만들었으며 보다 합리적인 가격에 제공해드리고자 합니다.
5,베트남,사이공그릴,02-749-7783,서울특별시 용산구 독서당로 67,이춘근치과의원 2층,"주요메뉴 : 야채롤 3,000원 새우치즈춘권 7,000원 짜죠 7,000원 소고기쌀국수 9,500원, 피쉬볼쌀국수 12,000원, �c얌꿍쌀국수 14,000원, 스지쌀국수 13,000원, 해물쌀국수 15,000원 파인애플볶음밥 14,000원, 나시고렝 15,000원 레몬그라스키친커리 16,000원, 그린커리 16,000원, 팟타이 15,000원, 미고렝 15,000원추천메뉴 : 런치세트 1인 12,000~ 17,000원 디너코스세트 1인 30,000원, 월남쌈 1인27,000원",37.5338367,127.0081461,베트남 및 동남아시아요리의 수준급 요리를 맛볼수 있습니다.
5,이탈리아,더 젤,02-797-6846,서울특별시 용산구 회나무로 67,1층 (이태원동),"주요메뉴 : 한우 티본 스테이크 1KG 239,000원칡소 스테이크 90,000원파스타 23,000원추천메뉴 : 자하젓파스타 - 27,000원",37.54036368,126.9941162,미국 타임지가 선정한 한국 대표 와인다이닝레스토랑. 아름다운 남산 전망과 한우 스테이크를 와인과 함께 즐길 수 있고 경리단길 24년 역사와 전통을 자랑하는 한국 와인 문화의 성지
5,호주,더플라잉팬블루,02-793-5285,서울특별시 용산구 이태원로27가길 13,지하1층 (이태원동),"주요메뉴 : 플라잉팬의 아침 15,000, 이태원 팬케�� 17,000, 아보카도 치킨 샌드위치 15,000추천메뉴 : 플라잉팬의 아침 15,000",37.53495049,126.9945692,여러나라의 다양한 음식문화를 더플라잉팬블루의 감각으로 세련되고 모던하게 재해석하여 선보이고자 합니다
5,미국,유피피,,서울특별시 용산구 장문로49길 104,3층 (한남동),"주요메뉴 : 페페로니 피자 15,000, 치즈피자 13,000, UPP피자 17,000 추천메뉴 : UPP피자 17,000",37.53074831,127.0028782,남산을 볼 수 있는 공간 UPP입니다. 편안한 분위기를 즐겨보세요
5,미국,래미스(Ramie`s),02-6237-2020,서울특별시 용산구 이태원로27가길 16,지하1~지상2층 (이태원동),"주요메뉴 : Small Plate(Slider(Pork Belly, Beef, Pulled Pork),Chicken Drum Stick, Grilled Cheese) 6,000, Steak 30,000, Pulled Pork 16,000  추천메뉴 : Small Plate(Slider(Pork Belly, Beef, Pulled Pork),Chicken Drum Stick, Grilled Cheese) 6,000",37.53516312,126.9944198,"New American Plates, Small Plates"
5,이탈리아,나인티모,02-790-4285,서울특별시 용산구 이태원로27가길 18,지하1층 (이태원동),"주요메뉴 : 나티보 17,000, 새우크림스파게티 18,000, 나인티모피자 19,000 추천메뉴 : 나티보 17,000",37.5351559,126.9942705,한국인 입맛에 맞춘 맛있는 이탈리안 레스토랑
5,이탈리아,(주)마이첼시,02-749-1373,서울특별시 용산구 이태원로27가길 40,1층 (이태원동),"주요메뉴 : 브런치, 샐러드, 피자, 파스타 각 10,000~20,000,미트토마토 파스타 17,000, 스테이크 30,000~40,000, Beef Steak(250g) 37,000 추천메뉴 : Beef Steak(250g) 37,000 ",37.53505492,126.9929897,"빈티지한 분위기 피자, 파스타 맛집으로 유명한 레스토랑"
5,그리스,산토리니,02-790-3474,서울특별시 용산구 이태원로27가길 43,2~3층 (이태원동),"주요메뉴 : 기로스 22,000, 무사까 23,000, 새우사가나끼 17,000추천메뉴 : 기로스 22,000",37.53482786,126.9928992,정통 웰빙 지중해 식단
5,미국,팻앨버트,02-749-3336,서울특별시 용산구 이태원로27가길 50,1층 (이태원동),"주요메뉴 : Fish&amp;Chips 15,000, Monterey Chicken 14,000, Smokin'Jalapeno Buger 13,000추천메뉴 : Smokin'Jalapeno Buger 13,000",37.53506931,126.9925552,"이태원 초창기의 펍, 외국인들 사이에서 알려짐, 저렴하고 맛있는 음식과 술"
5,중국,쟈니덤플링2호점,02-790-8839,서울특별시 용산구 이태원로27가길 9,1층 (이태원동),"주요메뉴 : 군만두 7,000, 만두국 7,000추천메뉴 : 만두국 7,000",37.53496491,126.9947819,만두 귀신들의 성지
5,미국,호머,,서울특별시 용산구 이태원로42길 19,2층 (한남동),"주요메뉴 : 화이트트러플피자 1조각 4,000~6,000, 1판 28,000~42,000추천메뉴 : 화이트트러플피자 1조각 4,000~6,000",37.53581197,126.999828,매일 구워내는 수제피자를 조각으로 맥주&진토닉과 즐길 수 있는 곳
5,미국,인더랩(In The Lab),070-7718-0190,서울특별시 용산구 이태원로45길 34,2층 (한남동),"주요메뉴 : 갈릭스테이크 20,000, 멕시칸 랩(샌드위치) 11,000, 와규버거 11,000추천메뉴 : 와규버거 11,000",37.53660843,126.9978186,"IN THE LAB : 요리연구소. 다양한 요리를 연구, 접목시켜 새로운 요리를 만들어내는 Mix & Match Restaurant "
5,일본,타베모노,02-790-2023,서울특별시 용산구 이태원로45길 4,지하1층 (한남동),"주요메뉴 : 모듬초밥 13피스 9,800, 10피스 7,600, 연어사시미 19,000, 생연어롤 7,800, 연어초밥 7,000추천메뉴 : 연어사시미 19,000",37.5361976,126.9993438,신선한 초밥과 롤을 맛있게 드실 수 있는 음식점
5,이탈리아,(주)마렘마트라토리아,,서울특별시 용산구 이태원로49길 8,1층 (한남동),"주요메뉴 : RED WINE OSSO PENNE 33,000, MILK RISOTTO 28,000, STEAK TARTARA TRUFFLE 27,000추천메뉴 : STEAK TARTARA TRUFFLE 27,000",37.53719951,127.0001312,가정식 이탈리안
5,프랑스,루틴,02-790-6686,서울특별시 용산구 이태원로54길 13,1층 (한남동),"주요메뉴 : 뿔레 까슐레 22,000, 돼지안심 로스트 26,000, 포크찹 스테이크 추천메뉴 : 뿔레 까슐레 22,000",37.53772928,127.0021769,프랑스 가정식
5,태국,스파이시바이트(Spicy Bite),070-4028-8011,서울특별시 용산구 이태원로54길 13,(한남동),"주요메뉴 : 바삭한 게튀김 10,000, 새콤달콤 바삭한 삼겹살 18,000, 홈메이드 그린커리 치킨 16,000추천메뉴 : 바삭한 게튀김 10,000",37.53772928,127.0021769,동남1 퓨전식당
5,일본,라운드 어바웃(ROUND ABOUT),070-5055-2258,서울특별시 용산구 이태원로54길 46,1층 (한남동),"주요메뉴 : 일본카레 8,000, 스파이시에비카레 9,000, 돈가츠정식 12,000추천메뉴 : 일본카레 8,000",37.53643906,127.0013804,카레전문점으로 카레를 제외한 요일별로 다른 일본가정석을 즐길 수 있는 매장입니다
5,이탈리아,알밤(ALBAM),070-8773-8479,서울특별시 용산구 이태원로54길 47,1층 (한남동),"주요메뉴 : 홈메이드 리코타 샐러드 15,000, 까르보나라 15,000, 함박스테이크 10,000추천메뉴 : 까르보나라 15,000",37.53627327,127.0014437,한국식재료를 이용해 편안한 가정에서 즐길 수있는 가정식 양식 레스토랑
5,미국,스모키러버스,02-792-1772,서울특별시 용산구 이태원로54길 53,1층 (한남동),"주요메뉴 : 바비큐 플레이트(2인용) 29,000, 수제베이컨샌드위치 9,000, 마오 핫 윙 7,500추천메뉴 : 바비큐 플레이트(2인용) 29,000",37.53600658,127.0012898,스모키러버는 아메리칸 바비큐 다이닝입니다
5,중국,자리,070-8278-2947,서울특별시 용산구 이태원로54길 5-5,1층 (한남동),"주요메뉴 : 목화솜 탕수육 19,000, JARI 짬뽕 10,000, 민트새우 19,000추천메뉴 : 목화솜 탕수육 19,000",37.53802841,127.0022041,밀가루를 사용하지 않는 건강한 중국요리 드시러 오세요
5,이탈리아,아방뮤제,02-790-7392,서울특별시 용산구 이태원로55가길 13,"1층 (한남동, 스카이빌)","주요메뉴 : 안심스테이크 38,000, 리코타시금치페스츄리21,000, 화이트트러플트리폴리네파스타20,000, 엔쵸비차파스타 20,000추천메뉴 : 화이트트러플트리폴리네파스타20,000",37.53766803,127.0004978,컨템퍼쳐리 계절식재료를 이용한 트렌드한 음식과 분위기를 제공
5,체코,펍앤그릴 프라하,02-796-2181,서울특별시 용산구 이태원로19길 9,1층 (이태원동),"주요메뉴 : 수제 소시지16,000~18,000, 포크커틀렛(wiener schitzel) 18,000, 돼지목삼겹구이(Marinade Boston Butt) 22,000추천메뉴 : 포크커틀렛(wiener schitzel) 18,000",37.53489987,126.9917361,체코스타일의 슈니첼과 직접 수입한 체코 생맥주를 즐길 수 있는 곳
5,이탈리아,만조네(Mangione),02-6095-3757,서울특별시 용산구 이태원로20길 13,지하1층 (이태원동),"주요메뉴 : 가락시장 해산물 파스타 19,000, 라자냐 19,000, T본 스테이크(800g) 150,000추천메뉴 : 라자냐 19,000",37.53371778,126.9921571,이탈리아 가정식 레스토랑입니다
5,미국,길티플레져(Guilty Pleasure),02-794-4332,서울특별시 용산구 이태원로20길 2-10,1층 (이태원동),"주요메뉴 : mac&amp;cheese 12,000, Butermilk Fried Chicken 19,000, Phily Cheese Steak 18,000추천메뉴 : Butermilk Fried Chicken 19,000",37.53403849,126.9915008,Traditional American Classic Style
5,중국,시옹,,서울특별시 용산구 이태원로20길 2-12,2층 (이태원동),"주요메뉴 : 양장피 18,000, 깐풍기 15,000, 크림새우 17,000추천메뉴 : 양장피 18,000",37.53393038,126.9915235,맛있는 중국요리와 술이있는 집
5,일본,스시원(one),02-798-8588,서울특별시 용산구 이태원로20길 24,1층 (이태원동),"주요메뉴 : 초밥 16,000, 돈까스 9,000, 사시미 43,000추천메뉴 : 사시미 43,000",37.5332817,126.9922431,이자카야
5,영국,더블린나나스트리트,02-749-9553,서울특별시 용산구 독서당로20길 5,1층 (한남동),"주요메뉴 : 나나버거 15,000, 피쉬앤칩스 20,000, 캐사디어스 13,000추천메뉴 : 피쉬앤칩스 20,000",37.53374652,127.0091825,"생 대구를 사용해서 신선한 음식점, 버거도 한우를 사용"
