"종류(01한식,02중식,03일식,04양식,05기타외국음식,06디저트/카페)",테마(국가),업소명,전화번호,주소1,주소2,주요요리,위도,경도,사장님이자랑하는내가게한마디,음식종류,평균가격
5,미국,샐러드셀러,02-794-0282,서울특별시 용산구 대사관로5길 28,2층 (한남동),"주요메뉴 : 아보카도 샐러드 12,500, 케일코코6,500, 치폴레 수프 6,500추천메뉴 : 아보카도 샐러드 12,500",37.53544436,127.0003937,"우리는 신선한 재료로 직접 샐러드를 만들고 샐러드 드레싱과 샌드위치 스프레드, 리코타 치즈 등을 직접 만들어 사용하고 있습니다",기타외국음식,9500
5,유럽,포르게따,02-797-8808,서울특별시 용산구 회나무로 3,1층 (이태원동),"주요메뉴 : chipotle porchetta sandwich(치포틀레뽀르게따샌드위치)9,200, Grilled veggie sandwich(그릴드베지샌드위치) 8,500, basil pesto chicken salad(바질페스토치킨샐러드) 1,500추천메뉴 : chipotle porchetta sandwich(치포틀레뽀르게따샌드위치)9,200 ",37.53858638,126.9874044,,기타외국음식,7100
5,멕시코,도스타코스,02-797-8525,서울특별시 용산구 한남대로18길 26,지하1층 (한남동),"주요메뉴 : 소프트타코 9,500, 고기라이스부리또 8,500, 나초피에스타 9,500추천메뉴 : 소프트타코 9,500",37.53454304,127.0086531,,기타외국음식,9250
5,베트남,포호아이태원점,02-792-8866,서울특별시 용산구 이태원로 227,(한남동),"주요메뉴 : 양지 쌀국수 8,500, 차돌박이 쌀국수 8,500, 양지, 차돌박이 쌀국수 8,500추천메뉴 : 양지, 차돌박이 쌀국수 8,500",37.53563537,126.998855,,기타외국음식,8500
5,일본,라멘81,02-749-6848,서울특별시 용산구 이태원로 258,(한남동),"주요메뉴 : 쇼유 7,000, 미소 8,000, 시오 7,000추천메뉴 : 쇼유 7,000",37.53750584,127.0013713,,기타외국음식,7250
5,홍콩,차찬텡,070-5043-4243,서울특별시 용산구 녹사평대로46가길 8,지하1층 (이태원동),"주요메뉴 : 탄탄면 10,500, 소고기차우펀13,500, 미나춘권 5,000추천메뉴 : 탄탄면 10,500",37.53692502,126.9882329,"(차)와 (찬)식사를 함께 즐기는 공간(텡), 홍콩식 누들카페",기타외국음식,9875
5,호주,그데이,02-749-0085,서울특별시 용산구 녹사평대로46길 10,1층 (이태원동),"주요메뉴 : vluru Paninni 11,800, Magic Mushroom Jaffle 6,000, Stoned konla Jaffle 5,500추천메뉴 : Magic Mushroom Jaffle 6,000",37.53726011,126.9874137,Austrain style의 샌드위치 카페입니다,기타외국음식,7325
5,일본,맷크로켓,02-790-0123,서울특별시 용산구 녹사평대로54길 16,1층 (이태원동),"주요메뉴 : 생선크로켓 4,000, 게살크림크로켓 4,000, 양송이튀김 6,000추천메뉴 : 게살크림크로켓 4,000",37.53913786,126.9881013,"홈메이드 형식으로 소스,크로켓 모두 수제로 만들어집니다",기타외국음식,4500
5,독일,써스티 몽크 이태원점,02-792-6751,서울특별시 용산구 녹사평대로40길 52,1층 (이태원동),"주요메뉴 : Haxen(학센) 3,400, Monk plate(몽크플레이트) 3,600, Weihenstephan Hefeweissbier(바이엔슈테판 헤페바이스비어) 9,500, Weihenstephan Dunkelweissbier(바이엔슈테판 둔켈바이스비어) 9,500 추천메뉴 : Weihenstephan Hefeweissbier(바이엔슈테판 헤페바이스비어) 9,500",37.5343554,126.9885727,1000년 역사의 독일 정통 바이엔슈테판 맥주,기타외국음식,7100
5,베트남,포88(Pho88),02-790-8338,서울특별시 용산구 녹사평대로32길 39,1층 (이태원동),"주요메뉴 : 베트남쌀국수 6,000, 갈비밥 6,000, 반미 5,000, 짜조 3,500추천메뉴 : 베트남 쌀국수 6,000 ",37.53308337,126.990718,"베트남 쌀국수, 가성비",기타외국음식,5300
5,우즈베키스탄,라자트(LAZZAT),02-792-7008,서울특별시 용산구 녹사평대로32길 15,2층 (이태원동),"15주요메뉴 : 솜사(소고기파이) 3,000, 양고기그릴샤실릭 8,000우즈베크 필라프 10,000추천메뉴 : 우즈베크 필라프 10,000 ",37.53367074,126.9896997,,기타외국음식,7750
5,베트남,포포유,02-749-8947,서울특별시 용산구 녹사평대로 246-1,(이태원동),"주요메뉴 : 포포유 콤비네이션 12,000, 양지 쌀국수 8,000,  짜조(쌀피고기만두튀김) 6,000, 스프링롤 3,000추천메뉴 : 양지쌀국수 8,000",37.53962434,126.9874993,샌프란시스코의 유명베트남쉐프의 레시피를 받아 미국식 쌀국수를 정성스럽게 만들고 있습니다.,기타외국음식,7400
5,미국,예스버거(Yes burger),02-794-3312,서울특별시 용산구 녹사평대로 220,2층 (이태원동),"주요메뉴 : 오!예스버거 7,700, 로드하우스 10,000, 더 젠틀맨 10,000추천메뉴 : 더 젠틀맨 10,000",37.53722403,126.9870471,맛있는 수제버거와 간단하게 맥주한잔하기 좋은집,기타외국음식,9425
5,멕시코,칠리칠리,02-797-7219,서울특별시 용산구 녹사평대로 218,"지상 1,2층 (이태원동)","주요메뉴 : 따코 5,000, 부리또 8,000, 엔칠라다 9,000추천메뉴 : 엔칠라다 9,000",37.53712312,126.9870652,멕시코 대중음식 따코 전문점,기타외국음식,7750
5,멕시코,돈차를리세군도(Don Charly Segundo),070-4219-4475,서울특별시 용산구 녹사평대로 238-1,지상2층 (이태원동),"주요메뉴 : Alambre(소고기따꼬) 8,000~11,000, Camarones a la crema de chipotle(새우따꼬) 8,000~11,000, La gringa(돼지 치지 또로띠야) 10,000 추천메뉴 : Alambre(소고기따꼬) 8,000~11,000",37.53884585,126.9872188,경리단길 따꼬가 맛있는 집,기타외국음식,9571
5,멕시코,빠꼬로꼬(Paco Loco),070-8821-6445,서울특별시 용산구 녹사평대로 246,1층 (이태원동),"주요메뉴 : 부리또 9,000~, 타코 7,000~, 퀘사디아 11,000추천메뉴 : 퀘사디아 11,000~ ",37.53954866,126.9874766,경리단길 아담한 타코 집,기타외국음식,9500
5,나이지리아,해피홈레스토랑(Happy Home Restaurant),02-797-3185,서울특별시 용산구 이태원로20길 2-10,2층 (이태원동),"주요메뉴 : Egusi soup 8,000, Tomato soup 8,000, Jollf Rice 11,000추천메뉴 : Egusi 8,000",37.53403849,126.9915008,서아프리카 전통음식,기타외국음식,8750
5,이탈리아,피자레볼루션(이태원점),02-797-8290,서울특별시 용산구 우사단로 47,(이태원동),"주요메뉴 : Caprese pizza 5,900, Pepperon pizza 5,900추천메뉴 : Hot Chicken pizza 5,900",37.53435226,126.9954924,,기타외국음식,5900
5,이란,페르시안랜드,02-797-7109,서울특별시 용산구 보광로60길 10,(이태원동),"주요메뉴 : 피자 9,000, 12,000, 샌드위치 5,000추천메뉴 : 양고기 바비큐 9,000, 13,000",37.53388371,126.9947231,,기타외국음식,9600
5,파키스탄,AL- HOOR,,서울특별시 용산구 우사단로10길 15,1층 (이태원동),"주요메뉴 : 양고기 10,000, 치킨커리 10,000, 디카 10,000추천메뉴 : 양고기 10,000",37.53326389,126.9964203,,기타외국음식,10000
5,레바논,알아지스(ALAZIZ),02-790-9865,서울특별시 용산구 우사단로10길 15,1층 (이태원동),"주요메뉴 : Beef or Lamb 6,000, Chicken 5,000, Falafel 5,000 추천메뉴 : Beef or Lamb 6,000",37.53326389,126.9964203,Beef or Lamb를 추천람,기타외국음식,5500
5,인도네시아/이집트,씨티사라,,서울특별시 용산구 우사단로10길 7,1층 (이태원동),"주요메뉴 : Nasi Goreng(볶음밥) 10,000, Mi Goreng(볶음라면) 10,000추천메뉴 : Half grill chicken 10,000",37.53315935,126.9959587,,기타외국음식,10000
5,터키,파샤터키레스토랑,02-766-8445,서울특별시 용산구 이태원로 188-1,(이태원동),"주요메뉴 : 도네르 두룸케밥 5,000 아나톨리아랩 10,900 Lahmacun 9,900추천메뉴 : 도네르 두룸케밥 5,000",37.53426214,126.9949041,,기타외국음식,7700
5,터키,케르반베이커리,02-790-5585,서울특별시 용산구 이태원로 204,(이태원동),"주요메뉴 : 쿠키 5,000, 로쿰(200g) 10,000추천메뉴 : 바클라바(200g) 7,000",37.53450727,126.9965198,,기타외국음식,7333
5,일본,멘야산다이메,02-790-4129,서울특별시 용산구 이태원로 206,(이태원동),"주요메뉴 : 츠케멘 8,000, 블랙라멘 7,500, 야끼라멘 9,000추천메뉴 : 츠케멘 8,000",37.53450728,126.9967506,,기타외국음식,8125
5,일본,니시키(NISIKI),02-749-0446,서울특별시 용산구 이태원로 232,(한남동),"주요메뉴 : 일본사누끼우동 7,500 히야시 탄탄면, 붓가케, 카레우동(우동) 9,500추천메뉴 : 돈카츠 13,000",37.53562816,126.9994931,일본 사누끼우동 전국대회에서 1등 수상,기타외국음식,10000
5,미국(뉴욕),믹존스피자(Mick jones`s pizza),,서울특별시 용산구 회나무로 66,1층 (이태원동),"주요메뉴 : 피자(한조각) 4,500추천메뉴 : 피자(한조각) 4,500",37.54011499,126.9938492,오리지널 뉴욕스타일 피자,기타외국음식,4500
5,프랑스,브래드쇼(Bread Show),02-792-2233,서울특별시 용산구 이태원로 214-1,(한남동),"주요메뉴 : 바게트 3,800, 에끌리어 4,000추천메뉴 : 갈레트 20,000",37.53460821,126.9979046,,기타외국음식,9266
5,미국,투브로즈,02-790-0610,서울특별시 용산구 이태원로 216,(한남동),"주요메뉴 : 머쉬룸 치즈버거 9,300, 에그먼 베이컨 치즈버거 9800추천메뉴 : 포테이토 치즈버거 9,300",37.53468751,126.9981354,,기타외국음식,9300
5,유럽권,유니버스 샌드위치,,서울특별시 용산구 회나무로 66,지상1층 (이태원동),"주요메뉴 : 마리네이드치킨&amp;감처트니 샌드위치 5,000, 루벤 샌드위치 5,500추천메뉴 : 후무스&amp;머쉬룸 파니니 8,500",37.54011499,126.9938492,"다국적 샌드위치 메뉴 유럽식 루벤샌드위치(프랑스햄), 유럽 치킨샌드위치 중동식 후무스 샌드위치 계절별로 메뉴는 상시 바뀜.",기타외국음식,6333
5,유럽권,만나키친(MANNA Kitchen),,서울특별시 용산구 회나무로 66,지상1층 (이태원동),"주요메뉴 : 민트/바질 모이또 4,900, 허브티 4,500추천메뉴 : 샐러드&amp;포크 8,500 ",37.54011499,126.9938492,,기타외국음식,5966
5,멕시코,타코세뇨리타,,서울특별시 용산구 회나무로 78,지상1층 (이태원동),"주요메뉴 : 퀘사디아 2p 7,000/3p 9,000 부리토 8,000추천메뉴 : 퀘사디아 2p 7,000/3p 9,000",37.54055834,126.9951345,"직접 만든 핫소스, 살사 등 신선한 가정식 타코",기타외국음식,8000
5,태국,소이연남,,서울특별시 용산구 회나무로 66,지상1층 (이태원동),"주요메뉴 : 소고기국수 8,000추천메뉴 : 소고기국수 8,000",37.54011499,126.9938492,진한 태국 소고기 국수!,기타외국음식,8000
5,미국/이탈리아,니키타,,서울특별시 용산구 회나무로 66,지상1층 (이태원동),"주요메뉴 : 니키타버거(단품) 8,500추천메뉴 : 니키타버거 8,500, 라구 딸리아뗄레 12,000 ",37.54011499,126.9938492,최고급 소고기 패티가 들어간 수제버거와 생면 파스타!,기타외국음식,9666
5,멕시코,그릴5타코,02-790-5549,서울특별시 용산구 이태원로19길 9,지상1층 (이태원동),"주요메뉴 : 서울프라이즈 11,000, 김치 케사디아 9,000추천메뉴 : 치킨부리또 (싱글 8,900 세트 11,000)",37.53489987,126.9917361,한국인 입맛에 맞는 멕시코 음식,기타외국음식,9975
5,프랑스,도리키친,02-790-1553,서울특별시 용산구 보광로59길 25,(이태원동),주요메뉴 : 프렌치 어니언 스프 미정추천메뉴 : 뵈프 부르기뇽 미정,37.53382233,126.9925599,분위기가 좋음,기타외국음식,0
5,미국,더푸드트럭커스,02-3785-2015,서울특별시 용산구 보광로59길 26,(이태원동),"주요메뉴 : dogs 7,800추천메뉴 : press 7,800",37.53403496,126.9925101,,기타외국음식,7800
5,파키스탄,피에이케이인디아,02-790-1509,서울특별시 용산구 우사단로10길 49,(한남동),"주요메뉴 : beef masala 12,000추천메뉴 : Dall Tark 8,000",37.53281703,126.9982486,아담하고 조용한 음식점,기타외국음식,10000
5,한식(할랄한식),마깐레스토랑,02-6012-2231,서울특별시 용산구 우사단로10길 52,(한남동),"주요메뉴 : 불고기 10,000추천메뉴 : 비빔밥 8,000",37.53263323,126.9982622,아담한 식당 분위기(불고기 전문점),기타외국음식,9000
5,미국,라이포스트 이태원1호점,02-792-9991,서울특별시 용산구 이태원로 164,(이태원동),"주요메뉴 : 필리치즈 스테이크 샌드위치 8,800, 베트남 반미 샌드위치 8,800추천메뉴 : 자메이카 저크치킨 샌드위치 8,800 ",37.5341863,126.9920801,,기타외국음식,8800
5,멕시코,타코벨 이태원지점,02-749-6696,서울특별시 용산구 이태원로 180,(이태원동),"주요메뉴 : 타코 2,700, 브리또 5,000추천메뉴 : 퀘사릴라 3,300",37.53422967,126.9941845,,기타외국음식,3666
5,터키,앙카라피크닉,02-793-2550,서울특별시 용산구 이태원로 182,(이태원동),"주요메뉴 : 치킨케밥 5,000, 양고기샌드위치 6,500추천메뉴 : 치킨라이스 케밥 8,000 ",37.5343414,126.9942886,,기타외국음식,6500
5,터키,미스터케밥,02-3463-2356,서울특별시 용산구 이태원로 192,(이태원동),"주요메뉴 : 라이스 랩 닭고기 6,500, 또띠아 빵 5,500추천메뉴 : 필라프 케밥 닭고기 8,500",37.53436667,126.9953703,다양한 터키 케밥과 할랄 음식의 대표적 음식점,기타외국음식,6833
5,일본,진돈부리,02-797-1179,서울특별시 용산구 이태원로55가길 38,지상1층 (한남동),"주요메뉴 : 믹소동 8,000, 규동 9,000추천메뉴 : 아부리사케동 11,000",37.53688236,126.9995338,일본재료를 사용해서 당일 판매재료만 판매합니다.,기타외국음식,9333
